,episodio,link,nome
0,Episodio 1,https://st1.animesproject.com/p2p/yZgESN8rS0juzIaSf4ynDg/1527971125/anime/z/zetman/mq/PUNCH_ZETMAN_-_01.mp4,ZETMAN
1,Episodio 2,https://st1.animesproject.com/p2p/k2Jet56s-KEt8_3jciYAzw/1527971139/anime/z/zetman/mq/PUNCH_ZETMAN_-_02.mp4,ZETMAN
2,Episodio 3,https://st1.animesproject.com/p2p/Ly8yAgNJmO1_dY_S6kQGDw/1527971147/anime/z/zetman/mq/PUNCH_ZETMAN_-_03.mp4,ZETMAN
3,Episodio 4,https://st1.animesproject.com/p2p/5F28BD99rQrkTXLg9e9REg/1527971153/anime/z/zetman/mq/PUNCH_ZETMAN_-_04.mp4,ZETMAN
4,Episodio 5,https://st1.animesproject.com/p2p/IaXEvJb30pOnYhs7lg2j9g/1527971177/anime/z/zetman/mq/PUNCH_ZETMAN_-_05.mp4,ZETMAN
5,Episodio 6,https://st1.animesproject.com/p2p/OqTAE4df95mLkQuaI9rRNw/1527971201/anime/z/zetman/mq/PUNCH_ZETMAN_-_06.mp4,ZETMAN
6,Episodio 7,https://st1.animesproject.com/p2p/tyuz2scoFvUrHj66ggHx6Q/1527971216/anime/z/zetman/mq/PUNCH_ZETMAN_-_07.mp4,ZETMAN
7,Episodio 8,https://st1.animesproject.com/p2p/7BkmpOja1_YOv-GmPVQ-gg/1527971236/anime/z/zetman/mq/PUNCH_ZETMAN_-_08.mp4,ZETMAN
8,Episodio 9,https://st1.animesproject.com/p2p/lWuTkTyJBBnBs_s1s2zBzw/1527971259/anime/z/zetman/mq/PUNCH_ZETMAN_-_09.mp4,ZETMAN
9,Episodio 10,https://st1.animesproject.com/p2p/siIYOD5GkkSZ5WzCgXOywQ/1527971282/anime/z/zetman/mq/PUNCH_ZETMAN_-_10.mp4,ZETMAN
10,Episodio 11,https://st1.animesproject.com/p2p/X4v-e4D2rxzgxEtmWYBJGg/1527971304/anime/z/zetman/mq/PUNCH_ZETMAN_-_11.mp4,ZETMAN
11,Episodio 12,https://st1.animesproject.com/p2p/g9rr9h1lWo2OJThaGwj6LA/1527971327/anime/z/zetman/mq/PUNCH_ZETMAN_-_12.mp4,ZETMAN
12,Episodio 13,https://st1.animesproject.com/p2p/1Aaep6WiFKHleeD4J0QxJw/1527971345/anime/z/zetman/mq/PUNCH_ZETMAN_-_13.mp4,ZETMAN
